x_m,y_m,vx_mps,heading_rad,kappa_radpm
3.8366407617271494,-1.9855255012438735,2.7318413039791403,-2.0702274732489134,-1.3144913812555932
3.785936948658725,-2.0664511428185413,2.9167916535594327,-2.1883118969796067,-1.1530756833059896
3.7266949954821724,-2.1413591844175586,3.1634907223309456,-2.2882358278509134,-0.9570632006889862
3.6607139014118277,-2.2104079662703566,3.1665047255335566,-2.3783051659315686,-0.9445206178269587
3.5885336368408343,-2.272941085857052,2.850745898326672,-2.4813705870216904,-1.2071232959731792
3.509811609674389,-2.327009709330906,2.7647897465511124,-2.598990447670965,-1.282429056035944
3.4248328952356646,-2.370571082545976,2.3966773547213576,-2.744428833659484,-1.7078495445853574
3.334252484630072,-2.400809653580388,2.691479582429368,-2.887770165640639,-1.2776950067947197
3.2406934406041477,-2.419979592577663,2.957036073948738,-2.9820724864491357,-0.7206247788596546
3.146011732714379,-2.4324712020208197,3.200634678096544,-3.032751701947705,-0.3575483869010011
3.0509318345087326,-2.441430171636056,3.426961094415016,-3.0603475325215057,-0.21338144592640898
2.955721259215187,-2.4488726831394065,3.6392392532827746,-3.0598627619158747,0.22352789123123953
2.8606563898956194,-2.457985396173987,3.839799778977306,-3.0293349205606925,0.4047361719701748
2.76598982154361,-2.470572677838921,4.030392331105517,-2.9890103918561124,0.40328791221127147
2.6717835107084666,-2.486251694298619,4.212370157362025,-2.9710826449322827,0.02202407529986216
2.577770663944559,-2.503037700919665,4.386805482652972,-2.9540275310138306,0.2642557741075329
2.484081050520759,-2.521555184741758,4.554565000374259,-2.943817337477773,-0.02760222849868043
2.390388550561872,-2.5400534862255544,4.71636113361076,-2.951136742507814,-0.13885753600338974
2.296445463384813,-2.5572250478914222,4.8727879435323445,-2.972700183183126,-0.22779025283236584
2.202215618623659,-2.572762181962917,5.024346956832716,-2.978733809609437,0.033146889446784886
2.107953240008426,-2.588091208394668,4.952637269167923,-2.984836082056276,-0.0941088541997886
2.0136437410149743,-2.603127663765407,4.756954479491169,-2.9770440520156405,0.17366200867750584
1.9195200191776824,-2.6192914120677138,4.552868976804747,-2.968291099017952,0.06394602998821977
1.8255489933332836,-2.636320757736396,4.339195307882684,-2.953257034589615,0.27369652034103353
1.7320885353468864,-2.655948892809499,4.114439927857873,-2.910765926315599,0.5715025444614119
1.6397853554344757,-2.680457885822794,3.876675885336702,-2.851984723482132,0.6527537215427087
1.5491809327089059,-2.710639537983013,3.794952465768091,-2.7875073959458674,0.6811702765890514
1.4607091543475872,-2.746595783869369,3.927738631596454,-2.724301340082986,0.6358917109518986
1.3745748526643782,-2.787848783598224,3.9739659843270165,-2.6660160372908965,0.6211836517102182
1.2910724788476364,-2.834177883623181,4.158413837581367,-2.6046203972447657,0.5527336959854501
1.21002493615475,-2.884701024512782,4.335020835542569,-2.5681528317749427,0.2885026360272426
1.1304623711133943,-2.937520747720337,4.504709274147244,-2.544140635041606,0.2092018698551974
1.0519637646569027,-2.991912499540417,4.668233675019727,-2.5287498482165316,0.10842876826632734
0.9740425204316899,-3.0471282033655176,4.8262206377856565,-2.5220920808038327,0.0760515180403518
0.8965493963580085,-3.1029424819684275,4.979197289181077,-2.512069208011127,0.11442238238909617
0.8196476031420104,-3.1595685668238898,5.127612080158579,-2.5026424572810173,0.05344292151878051
0.743017334304877,-3.216562876665208,5.271850305593682,-2.5036243615115783,-0.07706393189555459
0.6659752150314954,-3.272997429041096,5.352296256798543,-2.5165689406298255,-0.15837433254950622
0.5881222149091371,-3.3283091404914047,5.171757459562436,-2.530872044565667,-0.13779156430132808
0.5095512982428962,-3.3825957907827795,4.984684064265227,-2.542601268223628,-0.1066481172490276
0.43042950493853943,-3.4360767381297777,4.7903105557510255,-2.551507227261883,-0.08907991763111643
